ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Decision Tables,,FOUND
2,Business Rules,1,FOUND
3,CSV Format,,FOUND
4,XML Format,,FOUND
5,DMN Standard,1|4,FOUND
6,FEEL Language,5,FOUND
7,Python Protocols,,FOUND
8,Runtime Checkable Protocol,7,FOUND
9,Entry Points Mechanism,,FOUND
10,Lattice Object,1|2,FOUND
11,PluginRegistry Class,8|9,PLUG
12,Auto Discovery,11|9,PLUG
13,Entry Point Groups,12|9,PLUG
14,Exporter Entry Points,13,PLUG
15,Importer Entry Points,13,PLUG
16,Decomposer Entry Points,13,PLUG
17,Validator Entry Points,13,PLUG
18,Importer Protocol,8,IMP
19,Import Name Attribute,18,IMP
20,File Extensions Attribute,18,IMP
21,Import Lattice Method,18|10,IMP
22,CsvImporter Class,18|3|15,IMP
23,Dimension Column Inference,22|10,IMP
24,Data Type Detection,22|23,IMP
25,Polars CSV Read,22|3,IMP
26,Exporter Protocol,8,EXP
27,Export Name Attribute,26,EXP
28,File Extension Attribute,26,EXP
29,Export Method,26|10,EXP
30,Export Bytes Method,26|10,EXP
31,CsvExporter Class,26|3|14,EXP
32,Polars DataFrame Conversion,31|10,EXP
33,DmnExporter Class,26|5|14,EXP
34,DMN XML Tree Construction,33|4,EXP
35,DMN Definitions Element,34,EXP
36,DMN Decision Element,35,EXP
37,DMN DecisionTable Element,36,EXP
38,DMN Input Elements,37|10,EXP
39,DMN Output Elements,37,EXP
40,DMN Rule Elements,37|38|39,EXP
41,FEEL Expression Mapping,6|33|10,EXP
42,FEEL Exact Match,41,EXP
43,FEEL Not Equal,41,EXP
44,FEEL Range Expression,41,EXP
45,FEEL Greater Than,41,EXP
46,FEEL Less Than,41,EXP
47,FEEL Prefix Match,41,EXP
48,FEEL Suffix Match,41,EXP
49,FEEL Contains Match,41,EXP
50,FEEL Set Membership,41,EXP
51,FEEL Set Exclusion,41,EXP
52,NA Sentinel Handling,41|33,EXP
53,XML Security Module,4|34,EXP
54,Validator Protocol,8,VALID
55,ValidationIssue Dataclass,54,VALID
56,ValidationReport Dataclass,55,VALID
57,ConflictsValidator,54|56|17,VALID
58,CoverageValidator,54|56|17,VALID
59,OrphansValidator,54|56|17,VALID
60,RoundTripValidator,54|56|17,VALID
61,Decomposer Protocol,8,DECOMP
62,Fragment Dataclass,61|10,DECOMP
63,DecompositionResult Dataclass,62|56,DECOMP
64,Typer CLI App,11,CLI
65,Babel Export Command,64|29|22,CLI
66,Babel Import Command,64|22,CLI
67,Babel Validate Command,64|56|57|58|59|60,CLI
68,BabelError Base,,ERROR
69,FormatNotFoundError,68|11,ERROR
70,ValidationError Class,68|56,ERROR
